PassengerId,Survived_pred,Probability
892,0,0.1455744800127014
893,1,0.7340931947076372
894,0,0.18732478646982537
895,0,0.12072525480266942
896,1,0.5141483950339473
897,0,0.12072525480266942
898,1,0.7365739340615444
899,0,0.1516264386681523
900,1,0.7455817820598913
901,0,0.10352032496545227
902,0,0.12072525480266942
903,0,0.22602863648865534
904,1,0.9221044395196958
905,0,0.1967894812630831
906,1,0.9061261693318567
907,1,0.9223402892781691
908,0,0.18327086034055765
909,0,0.1579748664962395
910,0,0.48001481097760673
911,1,0.6721459217518069
912,0,0.39132554843121803
913,0,0.24434943254462133
914,1,0.9126391293139013
915,0,0.4136222220921362
916,1,0.9548229447385113
917,0,0.07131374938639305
918,1,0.9505709665738373
919,0,0.1579748664962395
920,0,0.28948080705950807
921,0,0.16597752891894701
922,0,0.1466461816007553
923,0,0.13725302555618646
924,1,0.5468094395956477
925,0,0.4818797544944497
926,0,0.4167002221377872
927,0,0.1579748664962395
928,0,0.49879982026853525
929,0,0.48271573667963874
930,0,0.12072525480266942
931,0,0.2835491821357983
932,0,0.14568141220851427
933,0,0.2637029136129043
934,0,0.11587556837870824
935,1,0.871836526879398
936,1,0.9455709844454185
937,0,0.12072525480266942
938,0,0.2575445789764713
939,0,0.14372543300385515
940,1,0.9453763047069493
941,1,0.6103698386925897
942,0,0.3535410686037841
943,0,0.11875428043082728
944,1,0.8589850785048843
945,1,0.7410601564656858
946,0,0.21729404296786103
947,0,0.1017074615119953
948,0,0.12960272030324174
949,0,0.12072525480266942
950,0,0.1371538211089522
951,1,0.9581905276882374
952,0,0.12072525480266942
953,0,0.1545666585453104
954,0,0.12072525480266942
955,1,0.7365739340615444
956,0,0.35928573384189844
957,1,0.8896145892999902
958,1,0.581151751879204
959,0,0.19664256330884314
960,0,0.3259151030670253
961,1,0.6639820628370414
962,1,0.5967320894332808
963,0,0.12072525480266942
964,0,0.49879982026853525
965,0,0.3073512130059393
966,1,0.9481750268685314
967,0,0.4015840859222589
968,0,0.12072525480266942
969,1,0.9128209993066133
970,0,0.13573253758393927
971,1,0.5967320894332808
972,1,0.8070201361080384
973,0,0.2170022384223243
974,0,0.25615292533376105
975,0,0.12072525480266942
976,0,0.17077350810846223
977,0,0.11806244557856378
978,1,0.5967320894332808
979,0,0.48271573667963874
980,1,0.5967320894332808
981,1,0.7577391261251808
982,0,0.4842973104611547
983,0,0.12072525480266942
984,1,0.8880114181349769
985,0,0.12072525480266942
986,0,0.3073512130059393
987,0,0.12072525480266942
988,1,0.8729445108380818
989,0,0.12072525480266942
990,0,0.48271573667963874
991,0,0.12960272030324174
992,1,0.9723654413551097
993,0,0.1516264386681523
994,0,0.14372543300385515
995,0,0.12072525480266942
996,1,0.6026526704719153
997,0,0.14198342032371078
998,0,0.14372543300385515
999,0,0.14372543300385515
1000,0,0.12072525480266942
1001,0,0.13573253758393927
1002,0,0.12287094588249717
1003,1,0.5967320894332808
1004,1,0.9449119308979202
